,시장,티커,종목이름
746,KOSPI,009415,태영건설우
747,KOSPI,001420,태원물산
748,KOSPI,007980,태평양물산
749,KOSPI,055490,테이팩스
750,KOSPI,078000,텔코웨어
751,KOSPI,214420,토니모리
752,KOSPI,019180,티에이치엔
753,KOSPI,363280,티와이홀딩스
754,KOSPI,36328K,티와이홀딩스우
755,KOSPI,091810,티웨이항공
756,KOSPI,004870,티웨이홀딩스
757,KOSPI,005690,파미셀
758,KOSPI,036580,팜스코
759,KOSPI,004720,팜젠사이언스
760,KOSPI,028670,팬오션
761,KOSPI,010820,퍼스텍
762,KOSPI,016800,퍼시스
763,KOSPI,001020,페이퍼코리아
764,KOSPI,090080,평화산업
765,KOSPI,010770,평화홀딩스
766,KOSPI,058430,포스코강판
767,KOSPI,047050,포스코인터내셔널
768,KOSPI,003670,포스코케미칼
769,KOSPI,007630,폴루스바이오팜
770,KOSPI,017810,풀무원
771,KOSPI,103140,풍산
772,KOSPI,005810,풍산홀딩스
773,KOSPI,950210,프레스티지바이오파마
774,KOSPI,086790,하나금융지주
775,KOSPI,293480,하나제약
776,KOSPI,039130,하나투어
777,KOSPI,172580,하이골드12호
778,KOSPI,153360,하이골드3호
779,KOSPI,352820,하이브
780,KOSPI,071090,하이스틸
781,KOSPI,019490,하이트론
782,KOSPI,000080,하이트진로
783,KOSPI,000087,하이트진로2우B
784,KOSPI,000140,하이트진로홀딩스
785,KOSPI,000145,하이트진로홀딩스우
786,KOSPI,152550,한국ANKOR유전
787,KOSPI,036460,한국가스공사
788,KOSPI,005430,한국공항
789,KOSPI,071050,한국금융지주
790,KOSPI,071055,한국금융지주우
791,KOSPI,010040,한국내화
792,KOSPI,025540,한국단자
793,KOSPI,004090,한국석유
794,KOSPI,002200,한국수출포장
795,KOSPI,002960,한국쉘석유
796,KOSPI,000240,한국앤컴퍼니
797,KOSPI,123890,한국자산신탁
798,KOSPI,015760,한국전력
